N,P,K,temperature,humidity,ph,rainfall,label,label_encoded,dataset_type
0.07357435866103916,0.6594876216595192,3.085726097443708,-1.5906998268376387,-2.318963961534352,0.1373608722269331,-0.4956918959119685,2,2,train
-0.55936513378919,1.415038167180804,-1.0683855755023879,-0.4366456505475738,-0.15234439132465863,1.924479772927476,-1.1585429609319,8,8,train
-0.8494624011622117,1.1928174184980733,3.1459306144429267,-1.6473613794723234,-2.3897911455547085,-0.15024547387853135,-0.2473161588117393,2,2,train
0.759258808815454,-0.7182810201734121,1.1591815534687069,0.012720004041234722,0.787103356299674,0.31073266240631225,-1.0573217906033912,19,19,train
-1.0868147108310475,1.1928174184980733,-0.7071584735070753,-0.3346228225488137,-2.152643656846561,-0.9883159754966011,-0.7859614137076618,7,7,train
1.260335907005219,0.17060197455751136,-0.7071584735070753,-0.2450731426378344,0.6657031270471915,-0.35290413507749346,-0.22272612464208758,5,5,train
0.8911212030759185,-1.0738342180657814,-0.34593137151176256,-0.3083943800383281,-0.16545688259814392,1.0848407163403313,1.5292775305157853,4,4,train
-1.218677105091512,-0.0071746243886733185,-1.0683855755023879,0.5740261119167854,-0.38806570367186105,-2.767193779775,-1.29025720021168,11,11,train
-0.9285798377184903,-0.9405017688561429,-1.0683855755023879,-1.2570170032796693,1.0579017018265113,0.9465840486901087,0.19773119990899243,14,14,train
-0.48024769723291133,-1.5182757154312432,-1.1887946095008255,-2.015012016138925,1.0280525998033898,1.0268512484850374,0.21452362369287095,14,14,train
1.3394533435614975,1.415038167180804,1.1591815534687069,0.8307850807578699,0.2822452510909772,-0.9950384398461255,-0.027983616827957296,0,0,train
-1.4032844570561622,0.9261525200787962,-0.5867494395086377,-1.4848395150678655,-0.5671581681448484,-2.484591356748366,1.3677282011346723,16,16,train
-0.8230899223101188,1.326149867707712,-0.9479765415039504,-0.20147664052528824,-0.25475404986613354,1.0361863522576675,-1.014776726025337,8,8,train
0.020829400956853393,1.415038167180804,-0.6469539565078565,1.3777862595167747,-0.2993195308041364,1.863321722227404,-0.7000949489653394,1,1,train
-1.1395596685352334,0.03726952534787285,-0.526544922509419,0.4674088180890495,0.884854325956761,-0.05014614211100725,-0.85750001915638,12,12,train
-0.37475778182453984,-0.0071746243886733185,-0.7673629905062941,0.8824483948504734,-0.5332444313862471,0.5662937096253735,-1.204372848265604,11,11,train
-0.11103299330361101,1.2817057179711657,-0.9479765415039504,0.3344598269426551,-0.28307530168443074,0.06978875637379181,-0.5270074358979293,1,1,train
0.8383762453717327,-1.20716666727542,0.7377499344741755,0.7835053319245682,0.9251235205953515,0.10792721733463483,-1.511223672689918,13,13,train
1.0757285550405686,-1.2960549667485124,1.3397951044663632,-0.10637386108460636,0.7852236850585492,0.17569416672718702,-1.1703491670881938,19,19,train
-1.1659321473873263,1.326149867707712,-0.9479765415039504,-1.7504900681035989,-0.07581236407073873,1.8215291105072289,-1.1916504882709829,8,8,train
-1.2714220627956978,1.415038167180804,-0.4663404055102002,-1.2276291952233487,-2.0053466466182037,-1.0301469854861753,-0.6073447580560761,7,7,train
1.3921983012656831,-0.4960602714906812,-0.04490878651566869,0.25600629793363155,-0.14827040145789344,0.4215605147549798,1.45559511864872,4,4,train
-0.11103299330361101,0.8372642206057039,-0.4663404055102002,0.7533959823886194,-0.28256959065958553,0.3544882512960889,-0.5955811784711144,1,1,train
0.9438661607801042,-0.22939537307140417,0.37652283247886276,0.003731529994879511,0.5339854174951959,0.19577315185907285,1.726309414216557,6,6,train
-0.29564034526826116,0.7039317713960654,-0.7673629905062941,0.27941346867518907,-0.3602368383414677,0.4571283633933951,-0.7240997328367209,1,1,train
